club_name,file_name,selection,source_status,sha256
LOS TITANES LA TUNA,images/LOS_TITANES_LA_TUNA.jpg,AUTOMATIC,SINGLE,961abacb0ad0ac173af253efc695a2d5a996fd7fe349a3a277c0d9980d98c811
MALVIN,images/MALVIN.jpg,REVIEWED_CONFLICT,CONFLICT,7e579961154c2ba9b4c910c3232409427469adf1ea33481c0dc40cf2d49bbc47
MILENIALS,images/MILENIALS.jpg,REVIEWED_CONFLICT,CONFLICT,752bb71ecc53351f4385b5ea8baa6afa465c996d75a88bcd698915766221fd2b
MIRAMAR,images/MIRAMAR.jpg,REVIEWED_CONFLICT,CONFLICT,d61f9250a47a1ddd722fde87f6fcc84a77cad644bb465790ba4cddcccbbb4f9f
MONTERREY,images/MONTERREY.jpg,AUTOMATIC,SINGLE,961abacb0ad0ac173af253efc695a2d5a996fd7fe349a3a277c0d9980d98c811
NACIONAL,images/NACIONAL.jpg,REVIEWED_CONFLICT,CONFLICT,27469f0d4b3dae1355e9afc4b1f084c8f077e98b9e821a6e37af4e61a6193571
NAUTICO,images/NAUTICO.jpg,REVIEWED_CONFLICT,CONFLICT,bce8811d6abc56c40e90fd98aa8b57cf07fd3353a7351038ce0ed2ba0762a4be
NEKOMA,images/NEKOMA.jpg,AUTOMATIC,SINGLE,87d772148e598b5c04dc18f7be30ec3ed8e4c92980b53bb10367b2b6c7a981b6
OLD BRENDAN`S,images/OLD_BRENDAN_S.jpg,AUTOMATIC,SINGLE,e985f7730e84af4765a2ad2b98b281b4c682dc2bc5c7088ca1734d79b0c7e81f
OLIMPIA,images/OLIMPIA.jpg,REVIEWED_CONFLICT,CONFLICT,5c2f5782b64c1623dc302674099a80733ab6de88eceb1cdde59b2f4959fbedca
ORT,images/ORT.jpg,AUTOMATIC,CONFIRMED,08fe430596d4482e9a14d8b06ed782960868ce664f3ab954c20d1d53dad7dbed
P4 - YONI VOLEY,images/P4_YONI_VOLEY.jpg,AUTOMATIC,SINGLE,ee7adf1f672726241d733f6bae63cfa730cc13cb1917fbe625a2292b74a8ebce
PAQUE,images/PAQUE.jpg,AUTOMATIC,SINGLE,dec7bcba7e9bd6ab2e25d98654edea141cbcbd084979ae8e2f177c74cbc34b6b
PARADA 6,images/PARADA_6.jpg,AUTOMATIC,SINGLE,cd9c165fdb347b148ee1e8c872ffd7b75037f0009c5afb47eb7aef873abd3aae
PASO CARRASCO,images/PASO_CARRASCO.jpg,REVIEWED_CONFLICT,CONFLICT,91c39b3bad5caef2d17181161a0edaac67955d2e7f0e909650fdb05d56a00011
PINAMAR,images/PINAMAR.jpg,AUTOMATIC,SINGLE,37b6caa845a90fcca551aa1004dfca2da74416f46d9e22a91b9e70d9c311e6ca
PLAYA PASCUAL,images/PLAYA_PASCUAL.jpg,AUTOMATIC,CONFIRMED,d0462bc0952ef8e2dddb448c9e4467560a30bf8a0688c7a9ce88619388e05554
PLAZA 12,images/PLAZA_12.jpg,AUTOMATIC,SINGLE,a65507901ff36b8a10b669ce1b3024b4d1acb4288132e5122e64d14ac496d97b
PLAZA HELVETICO,images/PLAZA_HELVETICO.jpg,AUTOMATIC,SINGLE,9c5c22a34751fcd00f10486cee80f15a48ba2bde7050f28dbea802b8683b4988
POQUITOS,images/POQUITOS.jpg,AUTOMATIC,CONFIRMED,6d9220bf1cfd9d30b7452e84b24756053a6eeaa8505f8c7043a49319e0a2b453
PROGRESO,images/PROGRESO.jpg,REVIEWED_CONFLICT,CONFLICT,1a5378d368b6f7f402ec1d27c6af9ebdff094a8cb1a577fe77f8a6049ba08bea
SAN JUAN UNIVERSITARIO,images/SAN_JUAN_UNIVERSITARIO.jpg,AUTOMATIC,SINGLE,43b069e694ba1863668a52e28463a45d851f8cc9992ebeb1b238c074ac611b5e
SANTA VOLEY,images/SANTA_VOLEY.jpg,AUTOMATIC,SINGLE,b3d670e5cca914bb0e33a1c09de001fe85350d34f2378fbc6ff31dda8c8b2e21
SAUCE B.B.C,images/SAUCE_B_B_C.jpg,AUTOMATIC,SINGLE,f43f92d5a7d25b1f67b5118e2d26cd26637218e265800fd1ab0610fae597baca
SAYAGO,images/SAYAGO.jpg,REVIEWED_CONFLICT,CONFLICT,9c6390b0a37d7ee8b12b23abe3819eb1de6b6ce9aa12df1a2451c75384626c4f
SJ DE CARRASCO,images/SJ_DE_CARRASCO.jpg,REVIEWED_CONFLICT,CONFLICT,e0032f3645ca2dda58942806c36428941b866a26c9b4ce58063578b41ed478b3
SJC,images/SJC.jpg,REVIEWED_CONFLICT,CONFLICT,86a4f0085d6c2aa3c2ff788fb684d5e5268b8cf57f7421e3dd9c216ff091b56d
TIEMPO CERO,images/TIEMPO_CERO.jpg,AUTOMATIC,CONFIRMED,5313b38680f166e6d74069233077128e7b6c0d853b9b3e14e91c570c14fbf3bf
TINTOCO,images/TINTOCO.jpg,AUTOMATIC,SINGLE,f20dc816942257c3968693c96f65e6ad852c3ef57ee3eae14d86648baf76b652
TORNADO,images/TORNADO.jpg,AUTOMATIC,SINGLE,874eb3e355cb129063926ecdad761c192bcd4acb66b784ebf2eca19b447636f3
U.A.S,images/U_A_S.jpg,AUTOMATIC,SINGLE,350b74bf7f4c0de1c7b3ee5770fab6f3460198851e7bfee22afd9f69fc0aca5c
UCU,images/UCU.jpg,REVIEWED_CONFLICT,CONFLICT,110801835cc462190a2377917c590d781a84507a4cadff24c62df5a06259e3f4
UDELAR,images/UDELAR.jpg,AUTOMATIC,CONFIRMED,1b4559373e89091cffc4a19d98ea4e34bcdbf8c487e7988aec56c53f7865d959
UNION 4 DE JULIO,images/UNION_4_DE_JULIO.jpg,AUTOMATIC,SINGLE,0a58d4b55b7e599c9623d93273f3badc1ffc46510dd9f988dff7abf839ebc1d4
UNION SRS,images/UNION_SRS.jpg,REVIEWED_CONFLICT,CONFLICT,ebe39e78d9402146ec784b95259320a947c35699c5a5d1ac7b9891212c30bbdb
UNION VECINAL,images/UNION_VECINAL.jpg,REVIEWED_CONFLICT,CONFLICT,36a31495bf5acce34326207aa251fa5557a00234df453a70011092c1d15fa9de
UNIVERSAL VOLEY,images/UNIVERSAL_VOLEY.jpg,AUTOMATIC,SINGLE,9ac4aec70558234fbb837d0bc32037aea72f07e21100668836156cc9c099d2b0
URUGUAY PEÑAROL,images/URUGUAY_PENAROL.jpg,REVIEWED_CONFLICT,CONFLICT,4025d0e59eb14e905c3997945adcba1957a7b0e1eb08e8dd09e721a87eac877a
URUPAN,images/URUPAN.jpg,AUTOMATIC,SINGLE,45cf6edb3ccd5362fe95fec91f05592223abf707c720f0cd6b85edfdf1c21aa8
V8 - PPC,images/V8_PPC.jpg,AUTOMATIC,SINGLE,452ecf82d56c0ebce95278a8b566ea19c5319a0b9a041c7b2eaf45cc090391ce
VALKIRIAS,images/VALKIRIAS.jpg,AUTOMATIC,SINGLE,961abacb0ad0ac173af253efc695a2d5a996fd7fe349a3a277c0d9980d98c811
ZONA 3,images/ZONA_3.jpg,AUTOMATIC,CONFIRMED,7d5ba5a980a3369d0f9ac96b8b7afb814672c31a4acb68ef7e44038e10db1104
